game_id,date,home_team,away_team,bet_type,bet_side,odds,line,bookmaker,model_prob,market_prob,edge,outcome,profit,stake
202bec44cb17b3fe31e1d47a35bb4311,2026-01-04,Washington Wizards,Minnesota Timberwolves,spread,away,-101,-10.0,lowvig,0.5598153770216967,0.5237154248186607,0.03609995220303597,win,99.00990099009901,100
202da3ad3e50703f37e61852b31c139e,2025-11-23,Boston Celtics,Orlando Magic,spread,home,-110,-4.5,fanduel,0.5652235736729404,0.5280252023536988,0.03719837131924164,win,90.9090909090909,100
2031f79c4dd229576855fb346449a8d4,2025-12-11,Los Angeles Lakers,San Antonio Spurs,spread,home,-110,-4.5,fanduel,0.6010440632065093,0.5281332395846007,0.0729108236219086,loss,-100.0,100
21a2823d808c3891e6bec16cbc206cb2,2025-11-19,San Antonio Spurs,Memphis Grizzlies,spread,home,-102,-6.5,draftkings,0.5999308190284907,0.5268817612048496,0.07304905782364102,win,98.0392156862745,100
21aa1ed8a0bb40eb9edb2d5f94ff5457,2025-12-16,Utah Jazz,Dallas Mavericks,spread,home,-106,1.5,lowvig,0.5750361887839274,0.525556457297858,0.04947973148606932,win,94.33962264150944,100
223ec223d9ac0172d28afb1c26f4b8ae,2025-12-06,Brooklyn Nets,New Orleans Pelicans,spread,home,-110,-3.5,fanduel,0.5711967388562789,0.530399339694749,0.04079739916152991,win,90.9090909090909,100
24de1e032f1519e144f30fc6f43079b4,2025-11-12,Brooklyn Nets,Toronto Raptors,spread,home,101,10.0,lowvig,0.5552858100173792,0.5217042852348397,0.03358152478253951,win,101.0,100
258fbfcfd104d515372cebe0a5e42234,2025-12-16,Los Angeles Clippers,Memphis Grizzlies,spread,home,-106,-3.5,lowvig,0.5705818272693985,0.5233618497160826,0.04721997755331597,win,94.33962264150944,100
27dd6a6f0a3c64d4bf137c426f93c530,2025-11-12,Philadelphia 76ers,Boston Celtics,spread,home,-106,-2.0,lowvig,0.5929531113851042,0.5269831896865392,0.06596992169856497,win,94.33962264150944,100
28162f3e97b5e5cf014e7ea0f6958f63,2025-12-16,Denver Nuggets,Houston Rockets,spread,home,-106,0.0,lowvig,0.5892923678083634,0.5243840822722721,0.06490828553609129,win,94.33962264150944,100
2836ce6179d85c0752ed6e9c4603affa,2025-12-21,Philadelphia 76ers,Dallas Mavericks,spread,home,-105,-2.5,betmgm,0.5775107989284138,0.5249345864026579,0.05257621252575595,win,95.23809523809524,100
2bb8bd2a1fb11a18c2b3fa2b3aac1834,2025-12-19,Indiana Pacers,New York Knicks,spread,home,-108,4.0,fanduel,0.6355565127603615,0.5264287231304237,0.10912778962993785,win,92.59259259259258,100
