date,home_team,away_team,bet_side,spread,adjusted_spread,actual_diff,won,pnl,bankroll,xgb_prob,mlp_prob,disagreement,year,confidence
2023-11-01,HOU,CHA,home,-3.5,-4.0,9,True,9.09,632.6000000000045,0.64044946,0.8021201413427562,0.16167067702161975,2023,0.6404494643211365
2023-11-04,HOU,SAC,away,2.5,3.0,18,False,-10.0,622.6000000000045,0.24390246,0.6231884057971014,0.3792859460564627,2023,0.7560975402593613
2023-11-10,HOU,NOP,home,-3.5,-4.0,3,False,-10.0,612.6000000000045,0.76455027,0.36404494382022473,0.4005053248298302,2023,0.7645502686500549
2023-12-11,HOU,SAS,home,-8.5,-9.0,11,True,9.09,621.6900000000045,0.80263156,0.6108108108108108,0.19182074617695166,2023,0.8026315569877625
2023-12-22,HOU,DAL,home,-8.5,-9.0,26,True,9.09,630.7800000000045,0.5722543,0.36404494382022473,0.20820935629726794,2023,0.5722543001174927
2023-12-26,HOU,IND,home,-2.5,-3.0,-6,False,-10.0,620.7800000000045,0.5722543,0.7551020408163265,0.1828477406988338,2023,0.5722543001174927
2023-12-29,HOU,PHI,away,1.5,2.0,-4,True,9.09,629.8700000000046,0.15116279,0.31690140845070425,0.16573862017880026,2023,0.848837211728096
2024-01-21,HOU,BOS,away,11.5,12.0,-9,False,-10.0,619.8700000000046,0.001,0.16666666666666666,0.1656666666191692,2024,0.9989999999525025
2024-01-29,HOU,LAL,away,1.5,2.0,16,False,-10.0,609.8700000000046,0.20634921,0.6108108108108108,0.4044616018598144,2024,0.7936507910490036
2024-02-12,HOU,NYK,away,-1.5,-1.0,2,False,-10.0,599.8700000000046,0.001,0.2,0.19899999995250256,2024,0.9989999999525025
2024-02-23,HOU,PHX,away,2.5,3.0,4,False,-10.0,589.8700000000046,0.25555557,0.4160583941605839,0.16050282403500404,2024,0.7444444298744202
2024-03-05,HOU,SAS,away,-6.5,-6.0,13,False,-10.0,579.8700000000046,0.38043478,0.6993865030674846,0.3189517217545421,2024,0.6195652186870575
2024-03-06,HOU,LAC,away,6.5,7.0,-6,False,-10.0,569.8700000000046,0.001,0.16666666666666666,0.1656666666191692,2024,0.9989999999525025
2024-03-14,HOU,WAS,home,-8.5,-9.0,16,True,9.09,578.9600000000046,0.9942857,0.6993865030674846,0.2948991996378987,2024,0.9942857027053833
2024-03-23,HOU,UTA,home,-10.5,-11.0,28,True,9.09,588.0500000000046,0.8828829,0.6231884057971014,0.2596944872883783,2024,0.8828828930854797
2024-03-25,HOU,POR,home,-14.5,-15.0,18,True,9.09,597.1400000000046,0.76455027,0.6108108108108108,0.15373945783924414,2024,0.7645502686500549
2024-11-04,HOU,NYK,away,2.5,3.0,12,False,-10.0,587.1400000000046,0.38043478,0.6108108108108108,0.23037602949786828,2024,0.6195652186870575
2024-11-06,HOU,SAS,home,-6.5,-7.0,27,True,9.09,596.2300000000047,0.80263156,0.6108108108108108,0.19182074617695166,2024,0.8026315569877625
2024-12-29,HOU,MIA,home,-8.5,-9.0,-4,False,-10.0,586.2300000000047,0.5722543,0.8021201413427562,0.22986584122526355,2024,0.5722543001174927
2025-01-01,HOU,DAL,home,-4.5,-5.0,11,True,9.09,595.3200000000047,0.6666667,0.48863636363636365,0.17803032289851795,2025,0.6666666865348816
2025-01-03,HOU,BOS,away,3.5,4.0,-23,True,9.09,604.4100000000047,0.27058825,0.8021201413427562,0.5315318923746318,2025,0.7294117510318756
